ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
11,3.5,7.20021,0.561694,0.561694,8.18295,-0.145188,-0.145188,8.0382,0.016532,0.016532,7.20021,0.477637,0.477637,0,All,#4682B4,0
11,4,7.66091,0.23814,0.23814,8.38406,-0.71398,-0.71398,8.26616,-0.582254,-0.582254,7.66091,0.0989552,0.0989552,0,All,#4682B4,0
11,4.5,7.91751,0.421431,0.421431,8.43744,-0.171427,-0.171427,8.37153,-0.0977897,-0.0977897,7.91751,0.323661,0.323661,0,All,#4682B4,0
11,5,7.99601,0.361981,0.361981,8.37239,-0.194831,-0.194831,8.37683,-0.199789,-0.199789,7.99601,0.333547,0.333547,0,All,#4682B4,0
11,5.5,7.91496,-0.166377,-0.166377,8.22609,-1.01119,-1.01119,8.30028,-1.09408,-1.09408,7.91496,-0.307843,-0.307843,0,All,#4682B4,0
11,6,7.70819,0.77416,0.77416,8.01039,0.48779,0.48779,8.14546,0.336896,0.336896,7.70819,0.808048,0.808048,0,All,#4682B4,0
11,6.5,7.42142,1.38899,1.38899,7.73263,1.41818,1.41818,7.91834,1.21071,1.21071,7.42142,1.56746,1.56746,0,All,#4682B4,0
11,7,7.09625,0.533223,0.533223,7.39552,0.2575,0.2575,7.62775,-0.00195861,-0.00195861,7.09625,0.54544,0.54544,0,All,#4682B4,0
11,7.5,6.76028,1.85275,1.85275,6.99538,2.37816,2.37816,7.27665,2.06393,2.06393,6.76028,2.21267,2.21267,0,All,#4682B4,0
11,8,6.43148,0.531082,0.531082,6.52477,0.624793,0.624793,6.86209,0.247925,0.247925,6.43148,0.533902,0.533902,0,All,#4682B4,0
11,8.5,6.12263,0.532857,0.532857,5.975,0.917253,0.917253,6.37776,0.467272,0.467272,6.12263,0.521768,0.521768,0,All,#4682B4,0
11,9,5.84436,-0.199977,-0.199977,5.34086,0.166628,0.166628,5.81789,-0.366335,-0.366335,5.84436,-0.349708,-0.349708,0,All,#4682B4,0
11,9.5,5.60406,0.192748,0.192748,4.63128,1.39064,1.39064,5.18036,0.777192,0.777192,5.60406,0.0969118,0.0969118,0,All,#4682B4,0
11,10,5.37388,-0.409176,-0.409176,3.92504,0.827826,0.827826,4.48579,0.201342,0.201342,5.37388,-0.510985,-0.510985,0,All,#4682B4,0
11,10.5,5.14024,-0.756342,-0.756342,3.34269,0.686328,0.686328,3.80708,0.167492,0.167492,5.14024,-0.854802,-0.854802,0,All,#4682B4,0
11,11,4.91488,-1.08166,-1.18577,2.94152,0.0653338,-0.436232,3.25411,-0.283897,-1.97601,4.91488,-1.10879,-1.19557,1,All,#4682B4,0
11,11.5,4.7063,-0.961774,-0.99552,2.68725,0.349415,-1.06745,2.87502,0.139627,-1.28244,4.7063,-1.03154,-1.05134,1,All,#4682B4,0
11,12,4.51848,0.674739,0.674739,2.52591,3.35851,3.35851,2.63115,3.24093,3.24093,4.51848,0.630318,0.630318,0,All,#4682B4,0
11,12.5,4.35198,-0.724866,-1.36385,2.41903,0.649085,-0.925753,2.47552,0.58597,0.20647,4.35198,-0.8032,-1.32822,1,All,#4682B4,0
11,13,4.20908,-0.625978,-0.973768,2.33966,0.737759,-0.0449067,2.37152,0.702157,-1.08239,4.20908,-0.609344,-0.996431,1,All,#4682B4,0
11,13.5,4.07652,-0.457814,-0.628637,2.27322,0.811985,0.241781,2.2965,0.785975,0.137012,4.07652,-0.430998,-0.599595,1,All,#4682B4,0
11,14,3.95997,-0.326341,-0.372569,2.21432,0.877792,-0.220972,2.23235,0.857643,-0.818586,3.95997,-0.378486,-0.416216,1,All,#4682B4,0
11,14.5,3.85189,-0.237052,-0.452116,2.15739,0.941392,-1.34319,2.17694,0.919546,0.0670877,3.85189,-0.320061,-0.555247,1,All,#4682B4,0
11,15,3.74766,-0.121295,-0.224103,2.10018,1.00531,-0.606711,2.12218,0.98073,-0.543174,3.74766,-0.193001,-0.288611,1,All,#4682B4,0
11,15.5,3.64832,0.0105591,-0.190721,2.04209,1.07021,0.199754,2.06821,1.04103,-0.549058,3.64832,-0.0152222,-0.248995,1,All,#4682B4,0
12,1,0,2.97604,0.00389517,0,3.3517,1.86224,0,3.3517,1.62095,0,2.29843,0.030916,1,All,#4682B4,0
