rep,ID,time,sim_y3,censored,split,color,filter
3,9,3,6.02103,0,All,-1,0
3,9,4,2.50384,0,All,-1,0
3,9,5,5.08138,0,All,-1,0
3,9,6,2.72094,0,All,-1,0
3,9,7,1.38235,0,All,-1,0
3,9,8,0.497744,0,All,-1,0
3,9,9,0.237736,0,All,-1,0
3,9,10,-0.958821,1,All,-1,0
3,9,11,-0.0773649,0,All,-1,0
3,9,12,0.998863,0,All,-1,0
3,9,13,-1.60354,1,All,-1,0
3,9,14,-3.37271,1,All,-1,0
3,9,-1,-0.141218,0,All,-1,0
3,9,0,-6.62352,1,All,-1,0
3,9,1,-6.78304,1,All,-1,0
3,9,2,0.109869,0,All,-1,0
3,10,0,-2.45609,1,All,-1,0
3,10,2,2.03256,0,All,-1,0
3,10,3,-7.97776,1,All,-1,0
3,10,4,0.796352,0,All,-1,0
3,10,5,-0.271776,0,All,-1,0
3,10,6,2.63581,0,All,-1,0
3,10,7,2.85741,0,All,-1,0
3,10,8,2.24147,0,All,-1,0
3,10,9,2.28785,0,All,-1,0
3,10,10,2.46058,0,All,-1,0
3,10,-1,-15.4291,1,All,-1,0
3,10,1,4.96941,0,All,-1,0
3,10,11,1.23289,0,All,-1,0
3,10,12,0.11899,0,All,-1,0
3,10,13,-2.27463,1,All,-1,0
3,10,14,-3.49478,1,All,-1,0
3,11,-1,-2.31757,1,All,-1,0
3,11,0,-7.92013,1,All,-1,0
3,11,2,0.639214,0,All,-1,0
3,11,3,-0.0396116,0,All,-1,0
3,11,4,-0.159079,0,All,-1,0
3,11,5,2.20707,0,All,-1,0
3,11,6,0.223189,0,All,-1,0
3,11,7,0.598372,0,All,-1,0
3,11,8,-0.616891,1,All,-1,0
3,11,9,-0.0132426,0,All,-1,0
3,11,10,0.150522,0,All,-1,0
3,11,11,0.470461,0,All,-1,0
3,11,1,-1.45272,1,All,-1,0
3,11,12,-0.188624,0,All,-1,0
3,11,13,0.307947,0,All,-1,0
3,11,14,-0.749717,1,All,-1,0
3,12,-1,-1.73441,1,All,-1,0
3,12,0,-14.1423,1,All,-1,0
3,12,7,2.3974,0,All,-1,0
3,12,8,1.76787,0,All,-1,0
3,12,9,1.35664,0,All,-1,0
3,12,10,-0.352835,1,All,-1,0
3,12,11,0.188495,0,All,-1,0
3,12,1,-7.84547,1,All,-1,0
3,12,2,-9.21068,1,All,-1,0
3,12,3,-1.04493,1,All,-1,0
3,12,4,2.03881,0,All,-1,0
3,12,5,5.49965,0,All,-1,0
3,12,6,4.12407,0,All,-1,0
3,12,12,-1.75552,1,All,-1,0
3,12,13,-2.63485,1,All,-1,0
3,12,14,-4.76907,1,All,-1,0
3,13,0,-2.74585,1,All,-1,0
3,13,4,0.984242,0,All,-1,0
3,13,5,1.51505,0,All,-1,0
3,13,6,0.392949,0,All,-1,0
3,13,7,0.577841,0,All,-1,0
3,13,8,1.25649,0,All,-1,0
3,13,9,2.08149,0,All,-1,0
3,13,10,1.44861,0,All,-1,0
3,13,12,1.78193,0,All,-1,0
3,13,13,-1.49415,1,All,-1,0
3,13,14,-3.5429,1,All,-1,0
3,13,-1,-5.9833,1,All,-1,0
3,13,1,-9.90441,1,All,-1,0
3,13,2,2.66192,0,All,-1,0
3,13,3,6.78563,0,All,-1,0
3,13,11,1.82006,0,All,-1,0
3,14,0,-2.94016,1,All,-1,0
3,14,1,-5.08367,1,All,-1,0
3,14,3,3.13719,0,All,-1,0
3,14,4,-0.258837,0,All,-1,0
3,14,5,1.56924,0,All,-1,0
3,14,6,2.35112,0,All,-1,0
3,14,7,1.76961,0,All,-1,0
3,14,8,3.58157,0,All,-1,0
3,14,9,0.682604,0,All,-1,0
3,14,10,-0.151378,0,All,-1,0
3,14,-1,1.42788,0,All,-1,0
3,14,2,0.809193,0,All,-1,0
3,14,11,-0.0628353,0,All,-1,0
3,14,12,0.725499,0,All,-1,0
3,14,13,0.295896,0,All,-1,0
3,14,14,-3.33784,1,All,-1,0
3,15,1,-0.75691,1,All,-1,0
3,15,5,3.01461,0,All,-1,0
3,15,6,2.3784,0,All,-1,0
3,15,7,2.34513,0,All,-1,0
3,15,8,-0.617233,1,All,-1,0
3,15,9,3.77889,0,All,-1,0
3,15,10,0.318771,0,All,-1,0
3,15,12,-2.06126,1,All,-1,0
3,15,13,-4.4931,1,All,-1,0
3,15,-1,-11.8695,1,All,-1,0
3,15,0,1.03757,0,All,-1,0
3,15,2,-2.91111,1,All,-1,0
3,15,3,0.442258,0,All,-1,0
3,15,4,0.0950322,0,All,-1,0
3,15,11,-0.618802,1,All,-1,0
3,15,14,-3.69859,1,All,-1,0
3,16,0,2.07883,0,All,-1,0
3,16,1,-13.2551,1,All,-1,0
3,16,3,-0.618888,1,All,-1,0
3,16,4,6.26862,0,All,-1,0
3,16,5,4.71009,0,All,-1,0
3,16,6,3.48207,0,All,-1,0
3,16,7,1.7279,0,All,-1,0
3,16,8,2.90389,0,All,-1,0
3,16,9,2.87358,0,All,-1,0
3,16,10,0.432532,0,All,-1,0
3,16,11,-1.71938,1,All,-1,0
3,16,12,-3.88815,1,All,-1,0
3,16,13,0.861473,0,All,-1,0
3,16,14,3.04762,0,All,-1,0
3,16,-1,-3.33629,1,All,-1,0
3,16,2,-5.2248,1,All,-1,0
3,17,-1,-10.3584,1,All,-1,0
3,17,0,-10.3893,1,All,-1,0
3,17,1,-7.10964,1,All,-1,0
3,17,2,-4.23649,1,All,-1,0
3,17,3,-0.0667112,0,All,-1,0
3,17,4,1.87241,0,All,-1,0
