iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_q_exp,sd_q_exp,E_ifn0,sd_ifn0
98,-3.79583,0.192167,2.40387,0.454891,2.9164,0.193549,2.09701,0.0932037,-2.30326,0.335691,0.625365,0.0757424,5.92473,0.496631,0.489736,0.220604,-1.77357,0.231637,-4.27541,0.0152019,0.427964,0.247549
99,-3.79569,0.192076,2.40473,0.455447,2.91628,0.193573,2.09671,0.0931705,-2.30343,0.335771,0.625396,0.0758159,5.92538,0.497578,0.489749,0.220964,-1.7734,0.231827,-4.27539,0.0151992,0.42799,0.247597
100,-3.79552,0.192093,2.40392,0.455921,2.91618,0.193637,2.0965,0.0931507,-2.30334,0.335566,0.625423,0.0758482,5.92629,0.497819,0.489811,0.221074,-1.77286,0.232309,-4.27538,0.0151986,0.427695,0.247558
101,-3.79555,0.192011,2.40466,0.456433,2.91585,0.193677,2.09648,0.0931889,-2.30309,0.335256,0.625444,0.0758284,5.92684,0.497859,0.489827,0.22116,-1.7725,0.232699,-4.27537,0.0151983,0.427483,0.247666
102,-3.79557,0.191968,2.40451,0.456546,2.91577,0.193478,2.09639,0.0931082,-2.30321,0.335014,0.625499,0.0758071,5.92722,0.497532,0.489771,0.22124,-1.77216,0.233023,-4.27535,0.0152191,0.427136,0.247722
103,-3.79536,0.192022,2.40545,0.456395,2.91581,0.193379,2.09614,0.0931022,-2.30329,0.334546,0.625506,0.075823,5.92664,0.497405,0.489686,0.221261,-1.7719,0.233239,-4.27533,0.0152243,0.426899,0.24751
104,-3.79516,0.191994,2.40627,0.456326,2.91591,0.193309,2.09601,0.0931235,-2.30343,0.333963,0.625545,0.0757709,5.92565,0.497192,0.489576,0.221323,-1.77168,0.233423,-4.27533,0.0152194,0.426879,0.247373
105,-3.79516,0.192167,2.40769,0.456412,2.9158,0.19338,2.09593,0.0930348,-2.30358,0.333403,0.625605,0.0757229,5.9256,0.497595,0.489567,0.221647,-1.77138,0.233509,-4.27534,0.0152094,0.426987,0.247107
106,-3.7951,0.19225,2.40913,0.456312,2.91573,0.193429,2.09574,0.0929683,-2.30373,0.332895,0.625636,0.0756846,5.9258,0.497672,0.489541,0.221804,-1.77132,0.233686,-4.27533,0.0152003,0.426985,0.247173
107,-3.7949,0.192201,2.40989,0.456155,2.91563,0.193696,2.09534,0.0929968,-2.30389,0.332398,0.625646,0.0756897,5.92586,0.497467,0.489576,0.221931,-1.77144,0.2338,-4.27531,0.0151728,0.427171,0.247453
108,-3.79478,0.192062,2.4099,0.455604,2.91548,0.19389,2.09498,0.0930657,-2.304,0.332085,0.625648,0.0757197,5.92611,0.496844,0.489604,0.222123,-1.77146,0.233872,-4.2753,0.0151571,0.427046,0.247276
109,-3.79481,0.192114,2.40977,0.455371,2.91542,0.19408,2.09482,0.0929636,-2.30415,0.331881,0.625659,0.0757387,5.92676,0.496268,0.489662,0.222267,-1.77134,0.233627,-4.27529,0.0151418,0.426757,0.247384
110,-3.7948,0.192094,2.41029,0.455159,2.91551,0.194303,2.09449,0.092888,-2.30437,0.331766,0.625699,0.0758528,5.92634,0.49626,0.489715,0.222756,-1.77141,0.233486,-4.27528,0.0151293,0.426546,0.247277
