rep,ID,time,sim_y3,censored,split,color,filter
2,14,12,-0.397984,1,All,-1,0
2,14,13,0.889361,0,All,-1,0
2,14,14,-1.2119,1,All,-1,0
2,15,1,-0.775994,1,All,-1,0
2,15,5,1.48177,0,All,-1,0
2,15,6,0.418507,0,All,-1,0
2,15,7,0.208985,0,All,-1,0
2,15,8,-0.331927,1,All,-1,0
2,15,9,0.77428,0,All,-1,0
2,15,10,0.0626067,0,All,-1,0
2,15,12,-0.283788,0,All,-1,0
2,15,13,-1.25703,1,All,-1,0
2,15,-1,-0.740614,1,All,-1,0
2,15,0,-0.186109,0,All,-1,0
2,15,2,-0.929182,1,All,-1,0
2,15,3,-0.692955,1,All,-1,0
2,15,4,0.501744,0,All,-1,0
2,15,11,-0.900048,1,All,-1,0
2,15,14,-1.03925,1,All,-1,0
2,16,0,0.772529,0,All,-1,0
2,16,1,-0.877931,1,All,-1,0
2,16,3,-0.210587,0,All,-1,0
2,16,4,1.70701,0,All,-1,0
2,16,5,1.67242,0,All,-1,0
2,16,6,2.31424,0,All,-1,0
2,16,7,2.47831,0,All,-1,0
2,16,8,1.43183,0,All,-1,0
2,16,9,2.13603,0,All,-1,0
2,16,10,0.662934,0,All,-1,0
2,16,11,-0.450454,1,All,-1,0
2,16,12,0.135174,0,All,-1,0
2,16,13,-0.763501,1,All,-1,0
2,16,14,-1.3017,1,All,-1,0
2,16,-1,-1.21297,1,All,-1,0
2,16,2,-0.681862,1,All,-1,0
2,17,-1,0.224237,0,All,-1,0
2,17,0,-0.444566,1,All,-1,0
2,17,1,-0.539247,1,All,-1,0
2,17,2,-1.31146,1,All,-1,0
2,17,3,-0.0259852,0,All,-1,0
2,17,4,0.349791,0,All,-1,0
2,17,5,0.0188432,0,All,-1,0
2,17,6,2.1336,0,All,-1,0
2,17,7,2.7087,0,All,-1,0
2,17,8,2.36063,0,All,-1,0
2,17,9,1.48098,0,All,-1,0
2,17,10,3.10532,0,All,-1,0
2,17,11,1.12121,0,All,-1,0
2,17,12,1.58574,0,All,-1,0
2,17,13,1.40896,0,All,-1,0
2,17,14,1.31107,0,All,-1,0
2,18,-1,-1.044,1,All,-1,0
2,18,0,-1.40839,1,All,-1,0
2,18,1,-0.0732057,0,All,-1,0
2,18,4,1.1865,0,All,-1,0
2,18,5,1.25615,0,All,-1,0
2,18,6,1.22572,0,All,-1,0
2,18,7,1.86579,0,All,-1,0
2,18,8,1.05295,0,All,-1,0
2,18,9,1.33716,0,All,-1,0
2,18,10,0.71187,0,All,-1,0
2,18,2,0.0559592,0,All,-1,0
2,18,3,0.0633763,0,All,-1,0
2,18,11,-0.708319,1,All,-1,0
2,18,12,-0.91606,1,All,-1,0
2,18,13,-1.1084,1,All,-1,0
2,18,14,-1.31356,1,All,-1,0
3,7,-1,-0.661072,1,All,-1,0
3,7,1,-1.27848,1,All,-1,0
3,7,2,-0.546014,1,All,-1,0
3,7,4,1.57237,0,All,-1,0
3,7,5,2.0003,0,All,-1,0
3,7,6,1.33277,0,All,-1,0
3,7,7,1.90343,0,All,-1,0
3,7,8,1.61175,0,All,-1,0
3,7,9,0.869311,0,All,-1,0
3,7,10,0.603614,0,All,-1,0
3,7,11,0.382043,0,All,-1,0
3,7,12,-0.985526,1,All,-1,0
3,7,13,-0.000286654,0,All,-1,0
3,7,0,-0.240982,0,All,-1,0
3,7,3,0.350332,0,All,-1,0
3,7,14,-0.364878,1,All,-1,0
3,8,-1,-1.34841,1,All,-1,0
3,8,0,-0.654556,1,All,-1,0
3,8,1,-1.18759,1,All,-1,0
3,8,4,-1.33751,1,All,-1,0
3,8,5,-0.887077,1,All,-1,0
3,8,6,1.33634,0,All,-1,0
3,8,7,2.84948,0,All,-1,0
