rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
4,8,2,0,4.02141,4.02141,0,All,#4682B4,0
5,8,2,0,4.02141,4.02141,0,All,#4682B4,0
6,8,2,0,4.02141,4.02141,0,All,#4682B4,0
7,8,2,0,4.02141,4.02141,0,All,#4682B4,0
8,8,2,0,4.02141,4.02141,0,All,#4682B4,0
9,8,2,0,4.02141,4.02141,0,All,#4682B4,0
10,8,2,0,4.02141,4.02141,0,All,#4682B4,0
1,8,2.5,0,3.36426,0.395279,1,All,#4682B4,0
2,8,2.5,2.61764,0.428791,-1.02135,1,All,#4682B4,0
3,8,2.5,0,3.36426,0.21834,1,All,#4682B4,0
4,8,2.5,0,3.36426,0.612446,1,All,#4682B4,0
5,8,2.5,0,3.36426,0.449019,1,All,#4682B4,0
6,8,2.5,0,3.36426,0.192783,1,All,#4682B4,0
7,8,2.5,1.34981,1.85056,-0.00641746,1,All,#4682B4,0
8,8,2.5,0,3.36426,1.35514,1,All,#4682B4,0
9,8,2.5,0,3.36426,0.398615,1,All,#4682B4,0
10,8,2.5,0,3.36426,0.385246,1,All,#4682B4,0
1,8,3,5.70726,0.672561,0.672561,0,All,#4682B4,0
2,8,3,7.18473,-0.984305,-0.984305,0,All,#4682B4,0
3,8,3,5.58986,0.804219,0.804219,0,All,#4682B4,0
4,8,3,5.7509,0.623625,0.623625,0,All,#4682B4,0
5,8,3,5.86905,0.491123,0.491123,0,All,#4682B4,0
6,8,3,5.64052,0.747402,0.747402,0,All,#4682B4,0
7,8,3,6.31408,-0.00793505,-0.00793505,0,All,#4682B4,0
8,8,3,5.83943,0.524344,0.524344,0,All,#4682B4,0
9,8,3,5.16772,1.27761,1.27761,0,All,#4682B4,0
10,8,3,6.8661,-0.626986,-0.626986,0,All,#4682B4,0
1,8,3.5,7.27633,0.265407,0.265407,0,All,#4682B4,0
2,8,3.5,8.1027,-0.661302,-0.661302,0,All,#4682B4,0
3,8,3.5,7.8447,-0.371974,-0.371974,0,All,#4682B4,0
4,8,3.5,7.37472,0.155067,0.155067,0,All,#4682B4,0
5,8,3.5,7.37877,0.150531,0.150531,0,All,#4682B4,0
6,8,3.5,7.02596,0.546173,0.546173,0,All,#4682B4,0
