time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
16.7831,2.35045,0,0.210657,1.06784,1.65649,2.13799,2.56392,2.95095,3.4241,3.89813,4.86968,All
16.8655,2.31192,0,0.13362,1.00666,1.6046,2.0998,2.52516,2.92302,3.40052,3.87539,4.84135,All
16.9478,2.27143,0,0.0597841,0.94222,1.5534,2.05664,2.48754,2.895,3.37273,3.84874,4.81031,All
17.0301,2.2304,0,0,0.881334,1.51032,2.01673,2.44937,2.87347,3.34758,3.82433,4.79343,All
17.1124,2.18923,0,0,0.825072,1.45999,1.9716,2.41532,2.84579,3.32439,3.80397,4.77388,All
17.1948,2.14713,0,0,0.755432,1.41185,1.93061,2.37931,2.81909,3.29495,3.78265,4.7609,All
17.2771,2.10483,0,0,0.697063,1.36083,1.89268,2.34441,2.78867,3.27284,3.76095,4.73819,All
17.3594,2.06463,0,0,0.640628,1.31506,1.85365,2.30726,2.75972,3.24144,3.73872,4.72356,All
17.4418,2.03054,0,0,0.566164,1.26253,1.80878,2.27444,2.73606,3.20797,3.71767,4.70175,All
17.5241,2.00067,0,0,0.507055,1.2162,1.7663,2.24016,2.70311,3.18376,3.69664,4.69175,All
17.6064,1.96835,0,0,0.45017,1.16518,1.72558,2.20698,2.67175,3.15796,3.67513,4.66206,All
17.6888,1.93216,0,0,0.387679,1.1143,1.69121,2.16871,2.65032,3.13678,3.65424,4.62868,All
17.7711,1.89683,0,0,0.324589,1.06815,1.65038,2.13109,2.62542,3.11388,3.63402,4.61155,All
17.8534,1.85781,0,0,0.26301,1.01567,1.60678,2.09576,2.59781,3.08754,3.61931,4.59847,All
17.9357,1.82658,0,0,0.206855,0.960456,1.56421,2.06581,2.57102,3.06615,3.59484,4.58682,All
18.0181,1.78419,0,0,0.136398,0.903362,1.52389,2.02917,2.54083,3.04583,3.57379,4.56808,All
18.1004,1.74833,0,0,0.0735012,0.851119,1.48811,1.99129,2.51448,3.02607,3.55746,4.55608,All
18.1827,1.71046,0,0,0.00636572,0.799631,1.45163,1.961,2.48661,3.00641,3.53775,4.53327,All
