iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_alpha_exp,sd_alpha_exp
104,-3.53265,0.289388,1.88377,0.476045,2.74444,0.259999,1.89729,0.161081,-2.54985,0.516112,0.653466,0.117475,5.82724,0.690911,0.502286,0.237317,-2.1422,0.370147,-3.71663,0.245701
105,-3.53322,0.289827,1.88262,0.475874,2.74464,0.259694,1.89728,0.161025,-2.54976,0.515934,0.653449,0.117428,5.82643,0.690851,0.502098,0.237552,-2.14212,0.369988,-3.71663,0.245507
106,-3.53371,0.29011,1.88273,0.475441,2.74484,0.259279,1.89746,0.160964,-2.54958,0.516065,0.653467,0.117515,5.8267,0.691702,0.502046,0.237657,-2.14227,0.369795,-3.71666,0.245352
107,-3.53418,0.290275,1.88318,0.475126,2.74514,0.258825,1.89753,0.160961,-2.54955,0.516254,0.653478,0.117647,5.82905,0.691926,0.50195,0.237733,-2.14262,0.369767,-3.71667,0.245129
108,-3.53456,0.290522,1.88363,0.475237,2.74539,0.258458,1.89806,0.161083,-2.54935,0.516266,0.65345,0.117714,5.83139,0.692263,0.501844,0.237711,-2.14253,0.36986,-3.71667,0.244947
109,-3.53483,0.290586,1.88389,0.475364,2.74564,0.258194,1.89828,0.161017,-2.5492,0.516343,0.653419,0.117838,5.83281,0.692267,0.501817,0.237655,-2.14251,0.370053,-3.71672,0.245051
110,-3.535,0.290479,1.88375,0.475335,2.74572,0.257943,1.89845,0.160996,-2.54893,0.516485,0.653382,0.117948,5.83462,0.691829,0.501841,0.237495,-2.14268,0.370338,-3.71674,0.245154
111,-3.53516,0.290382,1.88359,0.475136,2.74583,0.257728,1.89858,0.160986,-2.54872,0.516354,0.653336,0.11806,5.8364,0.691888,0.501823,0.237327,-2.14294,0.370689,-3.71673,0.245222
112,-3.53521,0.29017,1.88327,0.475071,2.74626,0.257623,1.89894,0.161144,-2.54864,0.516312,0.653311,0.118102,5.83864,0.692115,0.501832,0.237204,-2.14313,0.370765,-3.71644,0.245196
113,-3.5356,0.289961,1.88303,0.474624,2.74655,0.257485,1.8995,0.16115,-2.54841,0.516522,0.653275,0.118152,5.84105,0.691961,0.501828,0.237169,-2.14368,0.371025,-3.71621,0.245088
114,-3.53591,0.289678,1.88258,0.474364,2.74686,0.25709,1.89984,0.160982,-2.5481,0.516526,0.653252,0.118177,5.84314,0.691756,0.501678,0.237014,-2.14392,0.371304,-3.71603,0.24501
115,-3.53599,0.289305,1.88143,0.473861,2.74704,0.256678,1.90007,0.160816,-2.548,0.51636,0.653216,0.118217,5.84458,0.691427,0.501529,0.236812,-2.14407,0.371098,-3.71601,0.244744
116,-3.53619,0.289034,1.87981,0.473225,2.7471,0.256374,1.90034,0.160726,-2.54802,0.516145,0.653227,0.118182,5.84485,0.690983,0.501341,0.236791,-2.14404,0.371101,-3.7161,0.244366
117,-3.53645,0.289081,1.87853,0.47274,2.74702,0.256294,1.90038,0.16064,-2.54793,0.516015,0.65325,0.118133,5.845,0.690427,0.501152,0.236872,-2.14411,0.371265,-3.71636,0.244262
118,-3.53662,0.289162,1.87724,0.472332,2.74697,0.25607,1.9005,0.160385,-2.54796,0.515797,0.653269,0.118149,5.84595,0.690077,0.501123,0.236992,-2.14386,0.371242,-3.71666,0.244378
119,-3.53671,0.289353,1.87627,0.472185,2.74689,0.25583,1.9006,0.160178,-2.54782,0.515599,0.653265,0.118181,5.84768,0.689849,0.501154,0.237129,-2.14389,0.371454,-3.71701,0.244542
120,-3.53679,0.289362,1.87539,0.47206,2.74674,0.255654,1.9008,0.16,-2.54773,0.515483,0.653264,0.118235,5.84965,0.690297,0.501204,0.237298,-2.14399,0.371333,-3.71715,0.24477
121,-3.53684,0.289357,1.87456,0.47216,2.74659,0.255512,1.90107,0.159876,-2.54756,0.515317,0.653266,0.118236,5.85167,0.690286,0.501282,0.237291,-2.14396,0.371266,-3.71722,0.244742
